step,phase,duration,hold,score_NS,score_EW,N,S,E,W
0,ALL_RED,15,5,0.0,0.0,0,0,0,0
5,NS,15,15,1.0,1.0,1,0,0,1
20,NS,15,15,4.0,4.0,3,1,1,3
35,EW,30,30,4.0,8.0,3,1,1,5
65,NS,45,45,16.0,4.0,9,2,1,3
110,EW,45,45,4.0,22.0,3,1,4,9
155,NS,45,45,22.0,4.0,11,2,1,3
200,EW,45,45,5.0,22.0,4,1,4,9
245,NS,45,45,29.0,3.0,15,2,0,3
290,EW,45,45,5.0,20.0,4,1,3,9
335,NS,45,45,14.0,0.0,6,1,0,0
