step,phase,duration,hold,score_NS,score_EW,N,S,E,W
0,ALL_RED,15,5,0.0,0.0,0,0,0,0
5,NS,15,15,1.0,1.0,1,0,0,1
20,NS,15,15,4.0,4.0,3,1,1,3
35,EW,30,30,4.0,8.0,3,1,1,5
65,NS,45,30,16.0,4.0,9,2,1,3
95,EW,45,30,4.0,16.0,4,0,3,7
125,NS,45,30,16.0,4.0,9,1,1,3
155,EW,45,30,3.0,16.0,3,0,3,7
185,NS,45,30,16.0,4.0,10,1,1,3
215,EW,45,30,4.0,14.0,4,0,2,7
245,NS,45,30,18.0,3.0,11,1,0,3
275,EW,45,30,4.0,14.0,4,0,2,7
305,NS,45,30,16.0,3.0,9,1,1,2
335,EW,30,30,0.0,6.0,0,0,1,2
